Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
against all odds		Public	Yes	Allow	No	C:\imaad\applications\ago\againstallodds\against all odds.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
against all odds		Public	Yes	Allow	No	C:\imaad\applications\ago\againstallodds\against all odds.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
BattleBit Remastered Playtest		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\BattleBit Remastered Playtest\BattleBitEAC.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
BattleBit Remastered Playtest		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\BattleBit Remastered Playtest\EACRepair.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
BattleBit Remastered Playtest		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\BattleBit Remastered Playtest\EACRepair.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
BattleBit Remastered Playtest		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\BattleBit Remastered Playtest\BattleBitEAC.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacks Service		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\HD-Player.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksAppplayerWeb		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksWeb		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
C++ Application Development Framework		Public	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.2\bin\qtwebengineprocess.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
C++ Application Development Framework		Public	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.2\bin\qtwebengineprocess.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
CefSharp.BrowserSubprocess		Public	Yes	Block	No	C:\program files\mettl\msb\app\cefsharp.browsersubprocess.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
CefSharp.BrowserSubprocess		Public	Yes	Block	No	C:\program files\mettl\msb\app\cefsharp.browsersubprocess.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
chat_server		Public	Yes	Allow	No	C:\imaad\c files\cn lab\chat_server.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
chat_server		Public	Yes	Allow	No	C:\imaad\c files\cn lab\chat_server.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Cloud Game		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\Cloud Game.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Counter-Strike: Global Offensive		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Counter-Strike Global Offensive\csgo.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Counter-Strike: Global Offensive		All	Yes	Allow	No	C:\Imaad\applications\steam\steamapps\common\Counter-Strike Global Offensive\csgo.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
DaVinci Resolve		Public	Yes	Allow	No	C:\program files\blackmagic design\davinci resolve\resolve.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
DaVinci Resolve		Public	Yes	Allow	No	C:\program files\blackmagic design\davinci resolve\resolve.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
DaVinci Resolve		Public	Yes	Allow	No	C:\imaad\applications\davinci resolve files\resolve.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
